"","sample","client.id","date","time"
"1","R2106642-001","21L0208","6/29/2021","1346"
"2","R2106642-002","21L0208 Diss","6/29/2021","1346"
"3","R2106642-003","21L0207","6/29/2021","1346"
"4","R2106642-004","21L0207 Diss","6/29/2021","1346"
"5","R2106642-005","21L0190","6/30/2021","0945"
"6","R2106642-006","21L0190 Diss","6/30/2021","0945"
"7","R2106642-007","21L0191","6/30/2021","0945"
"8","R2106642-008","21L0191 Diss","6/30/2021","0945"
"9","R2106642-009","21L0192","6/30/2021","0945"
"10","R2106642-010","21L0192 Diss","6/30/2021","0945"
"11","R2106642-011","21L0193","6/30/2021","0945"
"12","R2106642-012","21L0193 Diss","6/30/2021","0945"
"13","R2106642-013","21L0206","6/30/2021","1007"
"14","R2106642-014","21L0206 Diss","6/30/2021","1007"
"15","R2106642-015","21L0212","6/30/2021","1200"
"16","R2106642-016","21L0212 Diss","6/30/2021","1200"
"17","R2106642-017","21L0213","6/30/2021","1200"
"18","R2106642-018","21L0213 Diss","6/30/2021","1200"
"19","R2106642-019","21L0214","6/30/2021","0900"
"20","R2106642-020","21L0214 Diss","6/30/2021","0900"
