"","sample","client.id","date","time"
"1","R2109987-001","21L0368","9/20/2021","1159"
"2","R2109987-002","21L0368 Diss","9/20/2021","1159"
"3","R2109987-003","21L0412","9/20/2021","1319"
"4","R2109987-004","21L0412 Diss","9/20/2021","1319"
"5","R2109987-005","21L0454","9/20/2021","1230"
"6","R2109987-006","21L0454 Diss","9/20/2021","1230"
"7","R2109987-007","21L0455","9/20/2021","1230"
"8","R2109987-008","21L0455 Diss","9/20/2021","1230"
"9","R2109987-009","21L0457","9/20/2021","1230"
"10","R2109987-010","21L0457 Diss","9/20/2021","1230"
"11","R2109987-011","21L0459","9/20/2021","1230"
"12","R2109987-012","21L0459 Diss","9/20/2021","1230"
"13","R2109987-013","21L0463-461","9/21/2021","0930"
"14","R2109987-014","21L0463-461 Diss","9/21/2021","0930"
"15","R2109987-015","21L0464-21L0462","9/21/2021","0930"
"16","R2109987-016","21L0464-21L0462 Diss","9/21/2021","0930"
