"","sample","client.id","date","time"
"1","R2109988-001","21L0467","9/22/2021","1100"
"2","R2109988-002","21L0467 Diss","9/22/2021","1100"
"3","R2109988-003","21L0468","9/22/2021","1100"
"4","R2109988-004","21L0468 Diss","9/22/2021","1100"
"5","R2109988-005","21L0469","9/22/2021","1100"
"6","R2109988-006","21L0469 Diss","9/22/2021","1100"
"7","R2109988-007","21L0470","9/22/2021","1100"
"8","R2109988-008","21L0470 Diss","9/22/2021","1100"
"9","R2109988-009","21L0195","9/22/2021","1140"
"10","R2109988-010","21L0195 Diss","9/22/2021","1140"
"11","R2109988-011","21L0197","9/22/2021","1140"
"12","R2109988-012","21L0197 Diss","9/22/2021","1140"
