"","sample","client.id","date","time"
"1","R2107810-001","21L0294","8/2/2021","1324"
"2","R2107810-002","21L0294 Diss","8/2/2021","1324"
"3","R2107810-003","21L0296","8/2/2021","1324"
"4","R2107810-004","21L0296 Diss","8/2/2021","1324"
"5","R2107810-005","21L0297","8/3/2021","1012"
"6","R2107810-006","21L0297 Diss","8/3/2021","1012"
"7","R2107810-007","21L0298","8/3/2021","1012"
"8","R2107810-008","21L0298 Diss","8/3/2021","1012"
"9","R2107810-009","21L0301","8/3/2021","1012"
"10","R2107810-010","21L0301 Diss","8/3/2021","1012"
"11","R2107810-011","21L0303","8/3/2021","1012"
"12","R2107810-012","21L0303 Diss","8/3/2021","1012"
"13","R2107810-013","21L0299","8/3/2021","0725"
"14","R2107810-014","21L0299 Diss","8/3/2021","0725"
"15","R2107810-015","21L0300","8/3/2021","0725"
"16","R2107810-016","21L0300 Diss","8/3/2021","0725"
"17","R2107810-017","21L0302","8/3/2021","0725"
"18","R2107810-018","21L0302 Diss","8/3/2021","0725"
"19","R2107810-019","21L0304","8/3/2021","0725"
"20","R2107810-020","21L0304 Diss","8/3/2021","0725"
