"","sample","client.id","date","time"
"1","R2107282-001","21L0224","7/20/2021","1100"
"2","R2107282-002","21L0224 Diss","7/20/2021","1100"
"3","R2107282-003","21L0226","7/20/2021","0900"
"4","R2107282-004","21L0226 Diss","7/20/2021","0900"
"5","R2107282-005","21L0241","7/20/2021","0830"
"6","R2107282-006","21L0241 Diss","7/20/2021","0830"
"7","R2107282-007","21L0238","7/20/2021","1000"
"8","R2107282-008","21L0238 Diss","7/20/2021","1000"
"9","R2107282-009","21L0239","7/20/2021","1000"
"10","R2107282-010","21L0239 Diss","7/20/2021","1000"
"11","R2107282-011","21L0240","7/20/2021","1000"
"12","R2107282-012","21L0240 Diss","7/20/2021","1000"
"13","R2107282-013","21L0242","7/20/2021","1000"
"14","R2107282-014","21L0242 Diss","7/20/2021","1000"
"15","R2107282-015","21L0243","7/20/2021","1430"
"16","R2107282-016","21L0243 Diss","7/20/2021","1430"
"17","R2107282-017","21L0244","7/20/2021","1200"
"18","R2107282-018","21L0244 Diss","7/20/2021","1200"
