"","sample","client.id","date","time"
"1","R2108505-001","210356","8/17/2021","1230"
"2","R2108505-002","210356 Diss","8/17/2021","1230"
"3","R2108505-003","21L0357","8/17/2021","0915"
"4","R2108505-004","21L0357 Diss","8/17/2021","0915"
"5","R2108505-005","21L0342","8/17/2021","1028"
"6","R2108505-006","21L0342 Diss","8/17/2021","1028"
"7","R2108505-007","21L0344","8/17/2021","1028"
"8","R2108505-008","21L0344 Diss","8/17/2021","1028"
"9","R2108505-009","21L0343","8/17/2021","1232"
"10","R2108505-010","21L0343 Diss","8/17/2021","1232"
"11","R2108505-011","21L0345","8/17/2021","1232"
"12","R2108505-012","21L0345 Diss","8/17/2021","1232"
"13","R2108505-013","21L0348","8/17/2021","1719"
"14","R2108505-014","21L0348 Diss","8/17/2021","1719"
"15","R2108505-015","21L0358","8/18/2021","0900"
"16","R2108505-016","21L0358 Diss","8/18/2021","0900"
"17","R2108505-017","21L0360","8/18/2021","0900"
"18","R2108505-018","21L0360 Diss","8/18/2021","0900"
"19","R2108505-019","21L0359","8/18/2021","1230"
"20","R2108505-020","21L0359 Diss","8/18/2021","1230"
"21","R2108505-021","21L0361","8/18/2021","1230"
"22","R2108505-022","21L0361 Diss","8/18/2021","1230"
