"","sample","client.id","date","time"
"1","R2109591-001","21L0400","9/14/2021","0850"
"2","R2109591-002","21L0400 Diss","9/14/2021","0850"
"3","R2109591-003","21L0401","9/14/2021","0850"
"4","R2109591-004","21L0401 Diss","9/14/2021","0850"
"5","R2109591-005","21L0403","9/14/2021","0850"
"6","R2109591-006","21L0403 Diss","9/14/2021","0850"
"7","R2109591-007","21L0406","9/14/2021","0850"
"8","R2109591-008","21L0406 Diss","9/14/2021","0850"
"9","R2109591-009","21L0402","9/14/2021","1245"
"10","R2109591-010","21L0402 Diss","9/14/2021","1245"
"11","R2109591-011","21L0404","9/14/2021","1245"
"12","R2109591-012","21L0404 Diss","9/14/2021","1245"
"13","R2109591-013","21L0405","9/14/2021","1130"
"14","R2109591-014","21L0405 Diss","9/14/2021","1130"
