"","sample","client.id","date","time"
"1","R2106235-001","21L0150","6/22/2021","0751"
"2","R2106235-002","21L0150 Diss","6/22/2021","0751"
"3","R2106235-003","21L0152","6/22/2021","0751"
"4","R2106235-004","21L0152 Diss","6/22/2021","0751"
"5","R2106235-005","21L0151","6/22/2021","0932"
"6","R2106235-006","21L0151 Diss","6/22/2021","0932"
"7","R2106235-007","21L0153","6/22/2021","0932"
"8","R2106235-008","21L0153 Diss","6/22/2021","0932"
"9","R2106235-009","21L0145","6/22/2021","1533"
"10","R2106235-010","21L0145 Diss","6/22/2021","1533"
"11","R2106235-011","21L0144","6/22/2021","1306"
"12","R2106235-012","21L0144 Diss","6/22/2021","1306"
"13","R2106235-013","21L0148","6/22/2021","1306"
"14","R2106235-014","21L0148 Diss","6/22/2021","1306"
"15","R2106235-015","21L0154","6/22/2021","1533"
"16","R2106235-016","21L0154 Diss","6/22/2021","1533"
