"","sample","client.id","date","time"
"1","R2108993-001","21L0444","8/31/2021","1000"
"2","R2108993-002","21L0444 Diss","8/31/2021","1000"
"3","R2108993-003","21L0443-21L0441","8/31/2021","0800"
"4","R2108993-004","21L0443-21L0441 Diss","8/31/2021","0800"
"5","R2108993-005","21L0445-21L0442","8/31/2021","0800"
"6","R2108993-006","21L0445-21L0442 Diss","8/31/2021","0800"
"7","R2108993-007","21L0446","8/31/2021","1300"
"8","R2108993-008","21L0446 Diss","8/31/2021","1300"
"9","R2108993-009","21L0447","8/31/2021","1140"
"10","R2108993-010","21L0447 Diss","8/31/2021","1140"
