"","sample","client.id","date","time"
"1","R2106236-001","21L0163","6/22/2021","1415"
"2","R2106236-002","21L0163 Diss","6/22/2021","1415"
"3","R2106236-003","21L0166","6/22/2021","1415"
"4","R2106236-004","21L0166 Diss","6/22/2021","1415"
"5","R2106236-005","21L0167","6/22/2021","1200"
"6","R2106236-006","21L0167 Diss","6/22/2021","1200"
"7","R2106236-007","21L0165","6/22/2021","0915"
"8","R2106236-008","21L0165 Diss","6/22/2021","0915"
"9","R2106236-009","21L0168","6/22/2021","0915"
"10","R2106236-010","21L0168 Diss","6/22/2021","0915"
"11","R2106236-011","21L0169","6/22/2021","0915"
"12","R2106236-012","21L0169 Diss","6/22/2021","0915"
"13","R2106236-013","21L0170","6/22/2021","0915"
"14","R2106236-014","21L0170 Diss","6/22/2021","0915"
