"","sample","client.id","date","time"
"1","R2110175-001","21L0384","9/28/2021","1133"
"2","R2110175-002","21L0384 Diss","9/28/2021","1133"
"3","R2110175-003","21L0386","9/28/2021","1133"
"4","R2110175-004","21L0386 Diss","9/28/2021","1133"
"5","R2110175-005","21L0379","9/28/2021","1501"
"6","R2110175-006","21L0379 Diss","9/28/2021","1501"
"7","R2110175-007","21L0381","9/28/2021","1501"
"8","R2110175-008","21L0381 Diss","9/28/2021","1501"
"9","R2110175-009","21L0390","9/29/2021","0759"
"10","R2110175-010","21L0390 Diss","9/29/2021","0759"
"11","R2110175-011","21L0393","9/29/2021","0759"
"12","R2110175-012","21L0393 Diss","9/29/2021","0759"
"13","R2110175-013","21L0287","9/27/2021","1137"
"14","R2110175-014","21L0287 Diss","9/27/2021","1137"
"15","R2110175-015","21L0387","9/27/2021","1347"
"16","R2110175-016","21L0387 Diss","9/27/2021","1347"
"17","R2110175-017","21L0109","9/27/2021","1347"
"18","R2110175-018","21L0109 Diss","9/27/2021","1347"
"19","R2110175-019","21L0173","9/27/2021","1347"
"20","R2110175-020","21L0173 Diss","9/27/2021","1347"
"21","R2110175-021","21L0217","9/28/2021","0906"
"22","R2110175-022","21L0217 Diss","9/28/2021","0906"
"23","R2110175-023","21L0245","9/28/2021","0906"
"24","R2110175-024","21L0245 Diss","9/28/2021","0906"
"25","R2110175-025","21L0383","9/28/2021","0906"
"26","R2110175-026","21L0383 Diss","9/28/2021","0906"
"27","R2110175-027","21L0385","9/28/2021","0906"
"28","R2110175-028","21L0385 Diss","9/28/2021","0906"
"29","R2110175-029","21L0364","9/28/2021","1130"
"30","R2110175-030","21L0364 Diss","9/28/2021","1130"
"31","R2110175-031","21L0365","9/28/2021","1130"
"32","R2110175-032","21L0365 Diss","9/28/2021","1130"
