"","sample","client.id","date","time"
"1","R2109502-001","21L0084","9/14/2021","1030"
"2","R2109502-002","21L0084 Diss","9/14/2021","1030"
"3","R2109502-003","21L00396","9/13/2021","0930"
"4","R2109502-004","21L00396 Diss","9/13/2021","0930"
"5","R2109502-005","21L00398","9/13/2021","0930"
"6","R2109502-006","21L00398 Diss","9/13/2021","0930"
"7","R2109502-007","21L00397","9/13/2021","1145"
"8","R2109502-008","21L00397 Diss","9/13/2021","1145"
"9","R2109502-009","21L00399","9/13/2021","1145"
"10","R2109502-010","21L00399 Diss","9/13/2021","1145"
