"","sample","client.id","date","time"
"1","R2109620-001","21L0485","9/13/2021","1000"
"2","R2109620-002","21L0485 Diss","9/13/2021","1000"
"3","R2109620-003","21L0486","9/13/2021","1230"
"4","R2109620-004","21L0486 Diss","9/13/2021","1230"
"5","R2109620-005","21L0491","9/14/2021","0800"
"6","R2109620-006","21L0491 Diss","9/14/2021","0800"
"7","R2109620-007","21L0493","9/14/2021","0800"
"8","R2109620-008","21L0493 Diss","9/14/2021","0800"
"9","R2109620-009","21L0293","9/14/2021","1200"
"10","R2109620-010","21L0293 Diss","9/14/2021","1200"
"11","R2109620-011","21L0410","9/15/2021","0850"
"12","R2109620-012","21L0410 Diss","9/15/2021","0850"
"13","R2109620-013","21L0413","9/15/2021","0850"
"14","R2109620-014","21L0413 Diss","9/15/2021","0850"
"15","R2109620-015","21L0407","9/15/2021","1100"
"16","R2109620-016","21L0407 Diss","9/15/2021","1100"
"17","R2109620-017","21L0408","9/15/2021","1100"
"18","R2109620-018","21L0408 Diss","9/15/2021","1100"
"19","R2109620-019","21L0411","9/15/2021","1100"
"20","R2109620-020","21L0411 Diss","9/15/2021","1100"
"21","R2109620-021","21L0414","9/15/2021","1100"
"22","R2109620-022","21L0414 Diss","9/15/2021","1100"
"23","R2109620-023","21L0494","9/15/2021","1330"
"24","R2109620-024","21L0494 Diss","9/15/2021","1330"
"25","R2109620-025","21L0481","9/15/2021","1045"
"26","R2109620-026","21L0481 Diss","9/15/2021","1045"
