"","sample","client.id","date","time"
"1","R2106089-001","21L0118","6/16/2021","1203"
"2","R2106089-002","21L0118 Diss","6/16/2021","1203"
"3","R2106089-003","21L0120","6/16/2021","1203"
"4","R2106089-004","21L0120 Diss","6/16/2021","1203"
"5","R2106089-005","21L0119","6/16/2021","0832"
"6","R2106089-006","21L0119 Diss","6/16/2021","0832"
"7","R2106089-007","21L0121","6/16/2021","0832"
"8","R2106089-008","21L0121 Diss","6/16/2021","0832"
"9","R2106089-009","21L0135","6/16/2021","0820"
"10","R2106089-010","21L0135 Diss","6/16/2021","0820"
"11","R2106089-011","21L0133","6/16/2021","1045"
"12","R2106089-012","21L0133 Diss","6/16/2021","1045"
"13","R2106089-013","21L0134","6/16/2021","1045"
"14","R2106089-014","21L0134 Diss","6/16/2021","1045"
"15","R2106089-015","21L0136","6/16/2021","1000"
"16","R2106089-016","21L0136 Diss","6/16/2021","1000"
