"","sample","client.id","date","time"
"1","R2107220-001","21L0219","7/19/2021","0900"
"2","R2107220-002","21L0219 Diss","7/19/2021","0900"
"3","R2107220-003","21L0221","7/19/2021","0900"
"4","R2107220-004","21L0221 Diss","7/19/2021","0900"
"5","R2107220-005","21L0220","7/19/2021","1121"
"6","R2107220-006","21L0220 Diss","7/19/2021","1121"
"7","R2107220-007","21L0222","7/19/2021","1121"
"8","R2107220-008","21L0222 Diss","7/19/2021","1121"
"9","R2107220-009","21L0233","7/19/2021","0945"
"10","R2107220-010","21L0233 Diss","7/19/2021","0945"
"11","R2107220-011","21L0234","7/19/2021","0945"
"12","R2107220-012","21L0234 Diss","7/19/2021","0945"
"13","R2107220-013","21L0235","7/19/2021","0945"
"14","R2107220-014","21L0235 Diss","7/19/2021","0945"
"15","R2107220-015","21L0236","7/19/2021","0945"
"16","R2107220-016","21L0236 Diss","7/19/2021","0945"
"17","R2107220-017","21L0237","7/19/2021","1200"
"18","R2107220-018","21L0237 Diss","7/19/2021","1200"
