"","sample","client.id","date","time"
"1","R2109902-001","21L0362","9/21/2021","0915"
"2","R2109902-002","21L0362 Diss","9/21/2021","0915"
"3","R2109902-003","21L0363","9/21/2021","0915"
"4","R2109902-004","21L0363 Diss","9/21/2021","0915"
"5","R2109902-005","21L0338","9/21/2021","0915"
"6","R2109902-006","21L0338 Diss","9/21/2021","0915"
"7","R2109902-007","21L0341","9/21/2021","0915"
"8","R2109902-008","21L0341 Diss","9/21/2021","0915"
"9","R2109902-009","21L0336","9/21/2021","1230"
"10","R2109902-010","21L0336 Diss","9/21/2021","1230"
"11","R2109902-011","21L0339","9/21/2021","1230"
"12","R2109902-012","21L0339 Diss","9/21/2021","1230"
