"","sample","client.id","date","time"
"1","R2110273-001","21L0497","9/27/2021","1015"
"2","R2110273-002","21L0497 Diss","9/27/2021","1015"
"3","R2110273-003","21L0500","9/27/2021","1015"
"4","R2110273-004","21L0500 Diss","9/27/2021","1015"
"5","R2110273-005","21L0498","9/27/2021","1400"
"6","R2110273-006","21L0498 Diss","9/27/2021","1400"
"7","R2110273-007","21L0501","9/27/2021","1400"
"8","R2110273-008","21L0501 Diss","9/27/2021","1400"
"9","R2110273-009","21L0502","9/27/2021","1615"
"10","R2110273-010","21L0502 Diss","9/27/2021","1615"
"11","R2110273-011","21L0504","9/28/2021","1215"
"12","R2110273-012","21L0504 Diss","9/28/2021","1215"
"13","R2110273-013","21L0506","9/28/2021","1215"
"14","R2110273-014","21L0506 Diss","9/28/2021","1215"
"15","R2110273-015","21L0507","9/28/2021","0815"
"16","R2110273-016","21L0507 Diss","9/28/2021","0815"
"17","R2110273-017","21L0510","9/29/2021","0900"
"18","R2110273-018","21L0510 Diss","9/29/2021","0900"
"19","R2110273-019","21L0509","9/28/2021","1600"
"20","R2110273-020","21L0509 Diss","9/28/2021","1600"
"21","R2110273-021","21L0512","9/28/2021","1600"
"22","R2110273-022","21L0512Diss","9/28/2021","1600"
"23","R2110273-023","21L0374","9/29/2021","1246"
"24","R2110273-024","21L0374 Diss","9/29/2021","1246"
"25","R2110273-025","21L0377","9/29/2021","1246"
"26","R2110273-026","21L0377 Diss","9/29/2021","1246"
"27","R2110273-027","21L0346","9/29/2021","1218"
"28","R2110273-028","21L0346 Diss","9/29/2021","1218"
"29","R2110273-029","21L0347","9/29/2021","1218"
"30","R2110273-030","21L0347 Diss","9/29/2021","1218"
"31","R2110273-031","21L0380","9/29/2021","1246"
"32","R2110273-032","21L0380 Diss","9/29/2021","1246"
"33","R2110273-033","21L0382","9/29/2021","1246"
"34","R2110273-034","21L0382 Diss","9/29/2021","1246"
