"","sample","client.id","date","time"
"1","R2106640-001","21L0182","6/28/2021","1135"
"2","R2106640-002","21L0182 Diss","6/28/2021","1135"
"3","R2106640-003","21L0183","6/28/2021","1135"
"4","R2106640-004","21L0183 Diss","6/28/2021","1135"
"5","R2106640-005","21L0209","6/29/2021","0900"
"6","R2106640-006","21L0209 Diss","6/29/2021","0900"
"7","R2106640-007","21L0211","6/29/2021","0900"
"8","R2106640-008","21L0211 Diss","6/29/2021","0900"
"9","R2106640-009","21L0200","6/29/2021","1330"
"10","R2106640-010","21L0200 Diss","6/29/2021","1330"
"11","R2106640-011","21L0202","6/29/2021","1330"
"12","R2106640-012","21L0202 Diss","6/29/2021","1330"
"13","R2106640-013","21L0185","6/29/2021","1345"
"14","R2106640-014","21L0185 Diss","6/29/2021","1345"
"15","R2106640-015","21L0188","6/29/2021","1345"
"16","R2106640-016","21L0188 Diss","6/29/2021","1345"
"17","R2106640-017","21L0189","6/29/2021","0930"
"18","R2106640-018","21L0189 Diss","6/29/2021","0930"
"19","R2106640-019","21L0194","6/29/2021","1346"
"20","R2106640-020","21L0194 Diss","6/29/2021","1346"
"21","R2106640-021","21L0196","6/29/2021","1346"
"22","R2106640-022","21L0196 Diss","6/29/2021","1346"
"23","R2106640-023","21L0199","6/29/2021","0933"
"24","R2106640-024","21L0199 Diss","6/29/2021","0933"
"25","R2106640-025","21L0203","6/29/2021","0933"
"26","R2106640-026","21L0203 Diss","6/29/2021","0933"
