"","sample","client.id","date","time"
"1","R2108368-001","21L0366","8/16/2021","0915"
"2","R2108368-002","21L0366 Diss","8/16/2021","0915"
"3","R2108368-003","21L0372","8/16/2021","1200"
"4","R2108368-004","21L0372 Diss","8/16/2021","1200"
"5","R2108368-005","21L0369","8/16/2021","1545"
"6","R2108368-006","21L0369 Diss","8/16/2021","1545"
"7","R2108368-007","21L0370","8/16/2021","1545"
"8","R2108368-008","21L0370 Diss","8/16/2021","1545"
"9","R2108368-009","21L0378","8/17/2021","0800"
"10","R2108368-010","21L0378 Diss","8/17/2021","0800"
"11","R2108368-011","21L0373-21L0247","8/17/2021","1045"
"12","R2108368-012","21L0373-21L0247 Diss","8/17/2021","1045"
"13","R2108368-013","21L0376-21L0246","8/17/2021","1045"
"14","R2108368-014","21L0376-21L0246 Diss","8/17/2021","1045"
"15","R2108368-015","21L0248","8/17/2021","1045"
"16","R2108368-016","21L0248 Diss","8/17/2021","1045"
"17","R2108368-017","21L0249","8/17/2021","1045"
"18","R2108368-018","21L0249 Diss","8/17/2021","1045"
