"","sample","client.id","date","time"
"1","R2107391-001","21L0204","7/20/2021","1245"
"2","R2107391-002","21L0204 Diss","7/20/2021","1245"
"3","R2107391-003","21L0205","7/20/2021","1245"
"4","R2107391-004","21L0205 Diss","7/20/2021","1245"
"5","R2107391-005","21L0104","7/19/2021","1330"
"6","R2107391-006","21L0104 Diss","7/19/2021","1330"
"7","R2107391-007","21L0227","7/21/2021","1300"
"8","R2107391-008","21L0227 Diss","7/21/2021","1300"
"9","R2107391-009","21L0228","7/21/2021","1300"
"10","R2107391-010","21L0228 Diss","7/21/2021","1300"
"11","R2107391-011","21L0229","7/21/2021","1230"
"12","R2107391-012","21L0229 Diss","7/21/2021","1230"
"13","R2107391-013","21L0231","7/21/2021","1230"
"14","R2107391-014","21L0231 Diss","7/21/2021","1230"
"15","R2107391-015","21L0230","7/21/2021","0900"
"16","R2107391-016","21L0230 Diss","7/21/2021","0900"
"17","R2107391-017","21L0232","7/21/2021","0900"
"18","R2107391-018","21L0232 Diss","7/21/2021","0900"
