"","sample","client.id","date","time"
"1","R2105965-001","21L0131","6/15/2021","0815"
"2","R2105965-002","21L0131 Diss","6/15/2021","0815"
"3","R2105965-007","21L0130-21L0128","6/15/2021","1000"
"4","R2105965-008","21L0130-21L0128 Diss","6/15/2021","1000"
"5","R2105965-009","21L0132-21L0129","6/15/2021","1000"
"6","R2105965-010","21L0132-21L0129 Diss","6/15/2021","1000"
"7","R2105965-011","21L0115","6/15/2021","1147"
"8","R2105965-012","21L0115 Diss","6/15/2021","1147"
"9","R2105965-013","21L0114","6/15/2021","0905"
"10","R2105965-014","21L0114 Diss","6/15/2021","0905"
"11","R2105965-015","21L0116","6/15/2021","1305"
"12","R2105965-016","21L0116 Diss","6/15/2021","1305"
"13","R2105965-017","21L0117","6/15/2021","1328"
"14","R2105965-018","21L0117 Diss","6/15/2021","1328"
