"","sample","client.id","date","time"
"1","R2107462-001","21L0268","7/26/2021","1100"
"2","R2107462-002","21L0270","7/26/2021","1100"
"3","R2107462-003","21L0269","7/26/2021","1330"
"4","R2107462-004","21L0271","7/26/2021","1330"
"5","R2107462-005","21L0268 Diss","7/26/2021","1100"
"6","R2107462-006","21L0270 Diss","7/26/2021","1100"
"7","R2107462-007","21L0269 Diss","7/26/2021","1330"
"8","R2107462-008","21L0271 Diss","7/26/2021","1330"
"9","R2107462-009","21L0274","7/27/2021","1400"
"10","R2107462-010","21L0274 Diss","7/27/2021","1400"
"11","R2107462-011","21L0276","7/27/2021","1400"
"12","R2107462-012","21L0276 Diss","7/27/2021","1400"
"13","R2107462-013","21L0277","7/27/2021","1230"
"14","R2107462-014","21L0277 Diss","7/27/2021","1230"
"15","R2107462-015","21L0272","7/27/2021","0900"
"16","R2107462-016","21L0272 Diss","7/27/2021","0900"
"17","R2107462-017","21L0273","7/27/2021","0900"
"18","R2107462-018","21L0273 Diss","7/27/2021","0900"
"19","R2107462-019","21L0275","7/27/2021","0900"
"20","R2107462-020","21L0275 Diss","7/27/2021","0900"
"21","R2107462-021","21L0278","7/27/2021","0900"
"22","R2107462-022","21L0278 Diss","7/27/2021","0900"
