"","sample","client.id","date","time"
"1","R2106357-001","21L0171","6/23/2021","1130"
"2","R2106357-002","21L0171 Diss","6/23/2021","1130"
"3","R2106357-003","21L0172","6/23/2021","1130"
"4","R2106357-004","21L0172 Diss","6/23/2021","1130"
"5","R2106357-005","21L0174","6/23/2021","0815"
"6","R2106357-006","21L0174 Diss","6/23/2021","0815"
"7","R2106357-007","21L0177","6/23/2021","0815"
"8","R2106357-008","21L0177 Diss","6/23/2021","0815"
"9","R2106357-009","21L0175","6/23/2021","0945"
"10","R2106357-010","21L0175 Diss","6/23/2021","0945"
"11","R2106357-011","21L0178","6/23/2021","0945"
"12","R2106357-012","21L0178 Diss","6/23/2021","0945"
