"","sample","client.id","date","time"
"1","R2105522-001","21L0139","6/1/2021","1330"
"2","R2105522-002","21L0139 Diss","6/1/2021","1330"
"3","R2105522-003","21L0140","6/1/2021","1045"
"4","R2105522-004","21L0140 Diss","6/1/2021","1045"
"5","R2105522-005","21L0081","6/2/2021","1200"
"6","R2105522-006","21L0081 Diss","6/2/2021","1200"
"7","R2105522-007","21L0141","6/2/2021","0815"
"8","R2105522-008","21L0141 Diss","6/2/2021","0815"
"9","R2105522-009","21L0142","6/2/2021","0830"
"10","R2105522-010","21L0142 Diss","6/2/2021","0830"
"11","R2105522-011","21L0143","6/2/2021","0845"
"12","R2105522-012","21L0143 Diss","6/2/2021","0845"
