"","sample","client.id","date","time"
"1","R2108992-001","21L0436","8/30/2021","0920"
"2","R2108992-002","21L0436 Diss","8/30/2021","0920"
"3","R2108992-003","21L0437","8/30/2021","0920"
"4","R2108992-004","21L0437 Diss","8/30/2021","0920"
"5","R2108992-005","21L0438","8/30/2021","0920"
"6","R2108992-006","21L0438 Diss","8/30/2021","0920"
"7","R2108992-007","21L0439","8/30/2021","0920"
"8","R2108992-008","21L0439 Diss","8/30/2021","0920"
"9","R2108992-009","21L0440","8/30/2021","1015"
"10","R2108992-010","21L0440 Diss","8/30/2021","1015"
"11","R2108992-011","21L0430","8/30/2021","1250"
"12","R2108992-012","21L0430 Diss","8/30/2021","1250"
"13","R2108992-013","21L0431","8/30/2021","1250"
"14","R2108992-014","21L0431 Diss","8/30/2021","1250"
"15","R2108992-015","21L0432","8/30/2021","1250"
"16","R2108992-016","21L0432 Diss","8/30/2021","1250"
"17","R2108992-017","21L0434","8/30/2021","1250"
"18","R2108992-018","21L0434 Diss","8/30/2021","1250"
"19","R2108992-019","21L0433","8/30/2021","1021"
"20","R2108992-020","21L0433 Diss","8/30/2021","1021"
"21","R2108992-021","21L0435","8/30/2021","1021"
"22","R2108992-022","21L0435 Diss","8/30/2021","1021"
