"","sample","client.id","date","time"
"1","R2108214-001","21L0305","8/9/2021","1155"
"2","R2108214-002","21L0305 Diss","8/9/2021","1155"
"3","R2108214-003","21L0306","8/9/2021","1155"
"4","R2108214-004","21L0306 Diss","8/9/2021","1155"
"5","R2108214-005","21L0307","8/9/2021","1155"
"6","R2108214-006","21L0307 Diss","8/9/2021","1155"
"7","R2108214-007","21L0308","8/9/2021","1155"
"8","R2108214-008","21L0308 Diss","8/9/2021","1155"
"9","R2108214-009","21L0309","8/9/2021","0944"
"10","R2108214-010","21L0309 Diss","8/9/2021","0944"
"11","R2108214-011","21L0310","8/9/2021","0944"
"12","R2108214-012","21L0310 Diss","8/9/2021","0944"
"13","R2108214-013","21L0321","8/9/2021","1515"
"14","R2108214-014","21L0321 Diss","8/9/2021","1515"
"15","R2108214-015","21L0322","8/9/2021","1515"
"16","R2108214-016","21L0322 Diss","8/9/2021","1515"
"17","R2108214-017","21L0323","8/9/2021","1515"
"18","R2108214-018","21L0323 Diss","8/9/2021","1515"
"19","R2108214-019","21L0324","8/9/2021","1515"
"20","R2108214-020","21L0324 Diss","8/9/2021","1515"
"21","R2108214-021","21L0325","8/9/2021","1145"
"22","R2108214-023","21L0328","8/9/2021","1145"
"23","R2108214-024","21L0328 Diss","8/9/2021","1145"
"24","R2108214-025","21L0448-21L0292","8/9/2021","1330"
"25","R2108214-026","21L0448-21L0292 Diss","8/9/2021","1330"
"26","R2108214-027","21L0449-21L0291","8/9/2021","1330"
"27","R2108214-028","21L0449-21L0291 Diss","8/9/2021","1330"
