"","sample","client.id","date","time"
"1","R2108216-001","21L0320","8/11/2021","0752"
"2","R2108216-002","21L0320 Diss","8/11/2021","0752"
"3","R2108216-007","21L0317-21L0315","8/11/2021","1122"
"4","R2108216-008","21L0317-21L0315 Diss","8/11/2021","1122"
"5","R2108216-009","21L0318-210316","8/11/2021","1122"
"6","R2108216-010","21L0318-210316 Diss","8/11/2021","1122"
"7","R2108216-011","21L0314","8/11/2021","1206"
"8","R2108216-012","21L0314 Diss","8/11/2021","1206"
"9","R2108216-013","21L0332","8/11/2021","0830"
"10","R2108216-014","21L0332 Diss","8/11/2021","0830"
"11","R2108216-015","21L0334","8/11/2021","0830"
"12","R2108216-016","21L0334 Diss","8/11/2021","0830"
"13","R2108216-017","21L0329","8/11/2021","1115"
"14","R2108216-018","21L0329 Diss","8/11/2021","1115"
"15","R2108216-019","21L0331","8/11/2021","1115"
"16","R2108216-020","21L0331 Diss","8/11/2021","1115"
"17","R2108216-021","21L0452","8/11/2021","1100"
"18","R2108216-022","21L0452 Diss","8/11/2021","1100"
"19","R2108216-023","21L0453","8/11/2021","1100"
"20","R2108216-024","21L0453 Diss","8/11/2021","1100"
"21","R2108216-025","21L0289","8/11/2021","1100"
"22","R2108216-026","21L0289 Diss","8/11/2021","1100"
"23","R2108216-027","21L0290","8/11/2021","1100"
"24","R2108216-028","21L0290 Diss","8/11/2021","1100"
